name,street_address,type,reviews,no_of_reviews,comments,price_range,type1,type2,type3,city,state,description,weighted_ratings,text_preprocessed
golden dawn diner iii,2090 whitehorse mercerville rd," american, diner, vegetarian friendly",4.5,75,i’ll pass on this place. especially if you’re dining later at night. the food used to be good but now is terrible. they even managed to mess up a grilled cheese sandwich and who could do that? prices are steadily increasing and food quality is...more,2.0,american,diner,vegetarian friendly,trenton,nj," american, diner, vegetarian friendly i’ll pass on this place. especially if you’re dining later at night. the food used to be good but now is terrible. they even managed to mess up a grilled cheese sandwich and who could do that? prices are steadily increasing and food quality is...more",337.5,american diner vegetarian friendly ill pas place especially youre dining later night food used good terrible even managed mess grilled cheese sandwich could price steadily increasing food quality ismore
local greek,44 leigh ave," greek, mediterranean, vegetarian friendly",4.5,59,"a lot of hype for the “ neighborhood gem” as it is described. saturday night restaurant was so overpacked that the waiter had to pass dishes to me since cannot reach my wife’s seat . food is good but overpriced, almost 20$ for a single...more",2.0,greek,mediterranean,vegetarian friendly,princeton,nj," greek, mediterranean, vegetarian friendly a lot of hype for the “ neighborhood gem” as it is described. saturday night restaurant was so overpacked that the waiter had to pass dishes to me since cannot reach my wife’s seat . food is good but overpriced, almost 20$ for a single...more",265.5,greek mediterranean vegetarian friendly lot hype neighborhood gem described saturday night restaurant overpacked waiter pas dish since reach wife seat food good overpriced almost singlemore
laci's tapas bar,304 hawley ave," contemporary, healthy, vegan options",4.5,174,we went to laci’s for an early dinner before a theater production.  the first indication of the great service we were about to receive was when we were asked by the hostess what time we would need to finish.  we were given our choice of...more,2.0,contemporary,healthy,vegan options,syracuse,ny," contemporary, healthy, vegan options we went to laci’s for an early dinner before a theater production.  the first indication of the great service we were about to receive was when we were asked by the hostess what time we would need to finish.  we were given our choice of...more",783.0,contemporary healthy vegan option went lacis early dinner theater production first indication great service receive asked hostess time would need finish given choice ofmore
via real gourmet mexican,4020 n macarthur blvd," mexican, southwestern, seafood",4.5,780,"been a tradition to come here when i am near las colinas.  lunch or dinner...this place remains consistently good. never missed a beat with service,  food, atmosphere,  and great staff",2.0,mexican,southwestern,seafood,irving,tx," mexican, southwestern, seafood been a tradition to come here when i am near las colinas.  lunch or dinner...this place remains consistently good. never missed a beat with service,  food, atmosphere,  and great staff",3510.0,mexican southwestern seafood tradition come near la colinas lunch dinnerthis place remains consistently good never missed beat service food atmosphere great staff
botticelli's,1321 s congress ave," italian, vegetarian friendly, vegan options",4.5,246,great place! serious good italian style cuisine. jacob was service staff for us and was on point and made a very busy multitasking dinner service look effortless. bread app is great. lasagna was enjoyed by two of our group. the tagliatelle con bolognese was outstanding....more,2.0,italian,vegetarian friendly,vegan options,austin,tx," italian, vegetarian friendly, vegan options great place! serious good italian style cuisine. jacob was service staff for us and was on point and made a very busy multitasking dinner service look effortless. bread app is great. lasagna was enjoyed by two of our group. the tagliatelle con bolognese was outstanding....more",1107.0,italian vegetarian friendly vegan option great place serious good italian style cuisine jacob service staff u point made busy multitasking dinner service look effortless bread app great lasagna enjoyed two group tagliatelle con bolognese outstandingmore
rodeo goat,2636 bledsoe," american, bar, vegetarian friendly",4.5,694,the rodeo goat has a large patio.  the burgers are so good and there are several different ones. my favorite is the telluride.  the drinks are tasty and the old fashion is the beat i’ve had,2.0,american,bar,vegetarian friendly,fort worth,tx," american, bar, vegetarian friendly the rodeo goat has a large patio.  the burgers are so good and there are several different ones. my favorite is the telluride.  the drinks are tasty and the old fashion is the beat i’ve had",3123.0,american bar vegetarian friendly rodeo goat large patio burger good several different one favorite telluride drink tasty old fashion beat ive
mission restaurant,304 e onondaga st," mexican, southwestern, latin",4.0,254,"second time to the mission and still doesn’t disappoint. we had the tamales and cauliflower soup for appetizers. both were excellent, but the tamales and the roasted garlic corn sauce was amazing. fish tacos and the puerco for main courses- both great.",2.0,mexican,southwestern,latin,syracuse,ny," mexican, southwestern, latin second time to the mission and still doesn’t disappoint. we had the tamales and cauliflower soup for appetizers. both were excellent, but the tamales and the roasted garlic corn sauce was amazing. fish tacos and the puerco for main courses- both great.",1016.0,mexican southwestern latin second time mission still doesnt disappoint tamale cauliflower soup appetizer excellent tamale roasted garlic corn sauce amazing fish taco puerco main course great
dirty dave's gay nineties,3939 martin way e," american, pizza, italian",4.0,140,"good pizza and salad bar.  great staff.  the decor is unique, local, and fun.  i would have done a complete tour of the memorabilia, but it was lunch time and i didn't want to disturb other diners.",2.0,american,pizza,italian,olympia,wa," american, pizza, italian good pizza and salad bar.  great staff.  the decor is unique, local, and fun.  i would have done a complete tour of the memorabilia, but it was lunch time and i didn't want to disturb other diners.",560.0,american pizza italian good pizza salad bar great staff decor unique local fun would done complete tour memorabilia lunch time didnt want disturb diner
joe taco,7312 wallace blvd," mexican, southwestern, vegetarian friendly",4.0,202,i was surprised how great this place turned out to be. everyone at our table enjoyed their food. i would definitely go back. best fajitas i've had in awhile. price wasn't too bad either. service was good.,2.0,mexican,southwestern,vegetarian friendly,amarillo,tx," mexican, southwestern, vegetarian friendly i was surprised how great this place turned out to be. everyone at our table enjoyed their food. i would definitely go back. best fajitas i've had in awhile. price wasn't too bad either. service was good.",808.0,mexican southwestern vegetarian friendly surprised great place turned everyone table enjoyed food would definitely go back best fajitas ive awhile price wasnt bad either service good
lorenzo's restaurant & cabaret,1100 south ave," italian, american, vegetarian friendly",4.0,238,"my husband and i , as well as my best friend and her husband, have made it a tradition to go to lorenzo’s every valentine’s day or weekend of valentine’s day. there is a prefix dinner with three courses and a piano player in the...more",2.0,italian,american,vegetarian friendly,staten island,ny," italian, american, vegetarian friendly my husband and i , as well as my best friend and her husband, have made it a tradition to go to lorenzo’s every valentine’s day or weekend of valentine’s day. there is a prefix dinner with three courses and a piano player in the...more",952.0,italian american vegetarian friendly husband well best friend husband made tradition go lorenzos every valentine day weekend valentine day prefix dinner three course piano player themore
mrs london's,464 broadway," cafe, vegetarian friendly, vegan options",4.5,563,this place never disappoints. a bit pricey but great products and always something new or inventive to try. we had the lemon croissant this time it was decadent.,2.0,cafe,vegetarian friendly,vegan options,saratoga springs,ny," cafe, vegetarian friendly, vegan options this place never disappoints. a bit pricey but great products and always something new or inventive to try. we had the lemon croissant this time it was decadent.",2533.5,cafe vegetarian friendly vegan option place never disappoints bit pricey great product always something new inventive try lemon croissant time decadent
leo's mexican food,7520 remcon cir," mexican, southwestern, soups",4.0,254,"i've been going here for years, and they are consistently good for a fair price.  certainly not the best mexican food i've ever had but good daily comfort food.  bar drinks have been hit or miss.  one day, a good margarita; the next, a watered...more",2.0,mexican,southwestern,soups,el paso,tx," mexican, southwestern, soups i've been going here for years, and they are consistently good for a fair price.  certainly not the best mexican food i've ever had but good daily comfort food.  bar drinks have been hit or miss.  one day, a good margarita; the next, a watered...more",1016.0,mexican southwestern soup ive going year consistently good fair price certainly best mexican food ive ever good daily comfort food bar drink hit miss one day good margarita next wateredmore
joe's shanghai,13621 37th ave," chinese, asian, soups",4.0,241,"we went for the soup dumpling, and they were excellent.  other dishes at other tables looked top notch... seems like it's authentic chinese mixed in with some american chinese dishes to please everyone.  it's worth a visit",2.0,chinese,asian,soups,flushing,ny," chinese, asian, soups we went for the soup dumpling, and they were excellent.  other dishes at other tables looked top notch... seems like it's authentic chinese mixed in with some american chinese dishes to please everyone.  it's worth a visit",964.0,chinese asian soup went soup dumpling excellent dish table looked top notch seems like authentic chinese mixed american chinese dish please everyone worth visit
stamatis,2909 23rd ave," mediterranean, greek, vegetarian friendly",4.5,247,fabulous greek food. great service. speak with the host and select from the kitchen what you want to eat. the salad and fish are amazing. lamb shanks and meatballs and okra...the best! enjoy!!!,2.0,mediterranean,greek,vegetarian friendly,astoria,ny," mediterranean, greek, vegetarian friendly fabulous greek food. great service. speak with the host and select from the kitchen what you want to eat. the salad and fish are amazing. lamb shanks and meatballs and okra...the best! enjoy!!!",1111.5,mediterranean greek vegetarian friendly fabulous greek food great service speak host select kitchen want eat salad fish amazing lamb shank meatball okrathe best enjoy
giumarello's,329 haddon ave," italian, american, vegetarian friendly",4.5,186,"my wife, daughter, and i had a wonderful lunch last friday afternoon at giumarello's in haddon township, nj. we'd eaten there one other time, and both times it was excellent. the food was well-prepared, spiced nicely, and presented in an attractive way.  it was delivered...more",3.0,italian,american,vegetarian friendly,"westmont, haddon township",nj," italian, american, vegetarian friendly my wife, daughter, and i had a wonderful lunch last friday afternoon at giumarello's in haddon township, nj. we'd eaten there one other time, and both times it was excellent. the food was well-prepared, spiced nicely, and presented in an attractive way.  it was delivered...more",837.0,italian american vegetarian friendly wife daughter wonderful lunch last friday afternoon giumarellos haddon township nj wed eaten one time time excellent food wellprepared spiced nicely presented attractive way deliveredmore
clover,913 e sharp ave," american, vegetarian friendly, vegan options",4.5,266,"what a great find. the food was excellent, the staff were very attentive and courteous. if visiting spokane, clover is a must !!",3.0,american,vegetarian friendly,vegan options,spokane,wa," american, vegetarian friendly, vegan options what a great find. the food was excellent, the staff were very attentive and courteous. if visiting spokane, clover is a must !!",1197.0,american vegetarian friendly vegan option great find food excellent staff attentive courteous visiting spokane clover must
rat's restaurant,16 fairgrounds rd," french, vegetarian friendly, vegan options",4.5,904,"judging by the three previous recent reviews, i'm glad we went on an off night, thursday, february 13th, the day before valentine's day. definitely upscale and expensive. extensive wine menu, but the cheapest bottle i found was $40. my husband opted for a beer and...more",3.0,french,vegetarian friendly,vegan options,hamilton,nj," french, vegetarian friendly, vegan options judging by the three previous recent reviews, i'm glad we went on an off night, thursday, february 13th, the day before valentine's day. definitely upscale and expensive. extensive wine menu, but the cheapest bottle i found was $40. my husband opted for a beer and...more",4068.0,french vegetarian friendly vegan option judging three previous recent review im glad went night thursday february th day valentine day definitely upscale expensive extensive wine menu cheapest bottle found husband opted beer andmore
the shannon rose,98 kingsland ave," american, irish, bar",4.0,128,"went here for my daughters 22nd birthday.  she goes to montclair.  we had group of 10.  everybody loved their appetizers (wings, fo soup, etc)...but the hit was my deviled eggs...it came with this crusted shell and was outstanding.  everybody loved their main meal.  i got...more",2.0,american,irish,bar,clifton,nj," american, irish, bar went here for my daughters 22nd birthday.  she goes to montclair.  we had group of 10.  everybody loved their appetizers (wings, fo soup, etc)...but the hit was my deviled eggs...it came with this crusted shell and was outstanding.  everybody loved their main meal.  i got...more",512.0,american irish bar went daughter nd birthday go montclair group everybody loved appetizer wing fo soup etcbut hit deviled eggsit came crusted shell outstanding everybody loved main meal gotmore
landry's seafood house,1212 lake robbins dr," american, seafood, vegetarian friendly",4.0,251,"johanna ""jojo"" geffon was absolutely marvelous.   super attentive to my family.    she made great suggestions and made us feel welcomed with her warming yet unobtrusive personality.  a master of her craft, all around phenomenal experience.   

items ordered- stuffed mushrooms, crab/spin dip, crab legs, crab cakes,...more",2.0,american,seafood,vegetarian friendly,the woodlands,tx," american, seafood, vegetarian friendly johanna ""jojo"" geffon was absolutely marvelous.   super attentive to my family.    she made great suggestions and made us feel welcomed with her warming yet unobtrusive personality.  a master of her craft, all around phenomenal experience.   

items ordered- stuffed mushrooms, crab/spin dip, crab legs, crab cakes,...more",1004.0,american seafood vegetarian friendly johanna jojo geffon absolutely marvelous super attentive family made great suggestion made u feel welcomed warming yet unobtrusive personality master craft around phenomenal experience item ordered stuffed mushroom crabspin dip crab leg crab cakesmore
liebman's kosher delicatessen,552 w 235th st," american, deli, kosher",4.5,106,"forget downtown overpriced katz's, or mid-town, equally overpriced ben's.  get on the subway, an express bus, an uber or lyft and hightail it to 235th street in riverdale to partake of the best jewish deli food in the city.  this place is a throwback to...more",2.0,american,deli,kosher,bronx,ny," american, deli, kosher forget downtown overpriced katz's, or mid-town, equally overpriced ben's.  get on the subway, an express bus, an uber or lyft and hightail it to 235th street in riverdale to partake of the best jewish deli food in the city.  this place is a throwback to...more",477.0,american deli kosher forget downtown overpriced katzs midtown equally overpriced ben get subway express bus uber lyft hightail th street riverdale partake best jewish deli food city place throwback tomore
george's restaurant & bar,1925 speight ave," american, bar, vegetarian friendly",4.5,1096,"recommended by our hotel clerk. since it was right around the corner we checked it out. plenty of good food. plenty of variety, great margaritas and fairly priced. so good we ate there twice. definitely worth checking out.
also great service all around.",2.0,american,bar,vegetarian friendly,waco,tx," american, bar, vegetarian friendly recommended by our hotel clerk. since it was right around the corner we checked it out. plenty of good food. plenty of variety, great margaritas and fairly priced. so good we ate there twice. definitely worth checking out.
also great service all around.",4932.0,american bar vegetarian friendly recommended hotel clerk since right around corner checked plenty good food plenty variety great margarita fairly priced good ate twice definitely worth checking also great service around
the cellar door,829 s mason rd," wine bar, american, international",4.5,77,"this place opened several years ago and we tried it.  not impressed at all!   recently, some friends said they had been and like it so we thought we would give it another chance.  so much better!!  nice atmosphere, good service (it can be spotty out...more",2.0,wine bar,american,international,katy,tx," wine bar, american, international this place opened several years ago and we tried it.  not impressed at all!   recently, some friends said they had been and like it so we thought we would give it another chance.  so much better!!  nice atmosphere, good service (it can be spotty out...more",346.5,wine bar american international place opened several year ago tried impressed recently friend said like thought would give another chance much better nice atmosphere good service spotty outmore
destefano's steak house,89 conselyea st," american, steakhouse, gluten free options",4.5,281,this steakhouse came recommended and it was a nice experience. food was plain and simple. no fuss. it was not as good as keens in nyc but a close second. steaks were well cooked and flavoursome. staff were excellent. thought that the atmosphere was a...more,3.0,american,steakhouse,gluten free options,brooklyn,ny," american, steakhouse, gluten free options this steakhouse came recommended and it was a nice experience. food was plain and simple. no fuss. it was not as good as keens in nyc but a close second. steaks were well cooked and flavoursome. staff were excellent. thought that the atmosphere was a...more",1264.5,american steakhouse gluten free option steakhouse came recommended nice experience food plain simple fuss good keen nyc close second steak well cooked flavoursome staff excellent thought atmosphere amore
proof gastropub,924 n columbia center blvd," american, bar, pub",4.0,49,stopped by last night. i'd had the spanish clams before but this time asked if they could be served over pasta. they accommodated my request and it was fantastic. they were good the other time but the pasta put them over the top. we've been...more,2.0,american,bar,pub,kennewick,wa," american, bar, pub stopped by last night. i'd had the spanish clams before but this time asked if they could be served over pasta. they accommodated my request and it was fantastic. they were good the other time but the pasta put them over the top. we've been...more",196.0,american bar pub stopped last night id spanish clam time asked could served pasta accommodated request fantastic good time pasta put top weve beenmore
shanghai you garden,13533 40th rd," chinese, asian, vegetarian friendly",4.5,76,"we’ve been here in the past for tasty soup dumplings and its made fresh and quick by a team of dumpling makers near the front door. we had to wait for approximately 10 minutes during the height of the lunch crowd.

they offer you small...more",1.0,chinese,asian,vegetarian friendly,flushing,ny," chinese, asian, vegetarian friendly we’ve been here in the past for tasty soup dumplings and its made fresh and quick by a team of dumpling makers near the front door. we had to wait for approximately 10 minutes during the height of the lunch crowd.

they offer you small...more",342.0,chinese asian vegetarian friendly weve past tasty soup dumpling made fresh quick team dumpling maker near front door wait approximately minute height lunch crowd offer smallmore
cool river,1045 hidden rdg," steakhouse, bar, vegetarian friendly",4.0,438,"cool river is a beautiful restaurant and the food was good (well, except for the chicken).  the wait staff is very attentive and professional.  we could barely hear the waitress nor her us and had to repeat ourselves.  we could not carry on a conversation...more",3.0,steakhouse,bar,vegetarian friendly,irving,tx," steakhouse, bar, vegetarian friendly cool river is a beautiful restaurant and the food was good (well, except for the chicken).  the wait staff is very attentive and professional.  we could barely hear the waitress nor her us and had to repeat ourselves.  we could not carry on a conversation...more",1752.0,steakhouse bar vegetarian friendly cool river beautiful restaurant food good well except chicken wait staff attentive professional could barely hear waitress u repeat could carry conversationmore
gringo's mexican kitchen,6925 cypresswood dr ste g," mexican, vegetarian friendly, vegan options",4.0,357,the food and drinks here are really good!!  they have a separate entrance door for pick-ups as well.  the service was excellent too!,2.0,mexican,vegetarian friendly,vegan options,spring,tx," mexican, vegetarian friendly, vegan options the food and drinks here are really good!!  they have a separate entrance door for pick-ups as well.  the service was excellent too!",1428.0,mexican vegetarian friendly vegan option food drink really good separate entrance door pickup well service excellent
magna ristorante,3525 farrington st," italian, vegetarian friendly, gluten free options",4.5,177,this is the first time visiting magna and was not sure what to expect.i was pleasantly surprised after hearing from numerous people telling me about this hidden gem.the free 3 hour underground parking was very convenient. fabio and staff were on point with their excellent...more,2.0,italian,vegetarian friendly,gluten free options,flushing,ny," italian, vegetarian friendly, gluten free options this is the first time visiting magna and was not sure what to expect.i was pleasantly surprised after hearing from numerous people telling me about this hidden gem.the free 3 hour underground parking was very convenient. fabio and staff were on point with their excellent...more",796.5,italian vegetarian friendly gluten free option first time visiting magna sure expecti pleasantly surprised hearing numerous people telling hidden gemthe free hour underground parking convenient fabio staff point excellentmore
texas de brazil,306 hiawatha blvd w," steakhouse, brazilian, gluten free options",4.5,246,"we treated our new pastor to dinner there, knowing i had purchased $100 dining card, receiving a $25 bonus card. the bonus card can’t be used only m-th, so not that sunday evening. i inquired of the manager before dining, about the $100 computer-printed card....more",3.0,steakhouse,brazilian,gluten free options,syracuse,ny," steakhouse, brazilian, gluten free options we treated our new pastor to dinner there, knowing i had purchased $100 dining card, receiving a $25 bonus card. the bonus card can’t be used only m-th, so not that sunday evening. i inquired of the manager before dining, about the $100 computer-printed card....more",1107.0,steakhouse brazilian gluten free option treated new pastor dinner knowing purchased dining card receiving bonus card bonus card cant used mth sunday evening inquired manager dining computerprinted cardmore
gabriel's gate restaurant,145 allen st," american, bar, pub",4.0,364,rude lady at front refused to serve us at fitst...says someone will serve us. no one came. finally says wings will take a long time because place packed (it was half empty)  worst service in buffalo,2.0,american,bar,pub,buffalo,ny," american, bar, pub rude lady at front refused to serve us at fitst...says someone will serve us. no one came. finally says wings will take a long time because place packed (it was half empty)  worst service in buffalo",1456.0,american bar pub rude lady front refused serve u fitstsays someone serve u one came finally say wing take long time place packed half empty worst service buffalo
wally's,712 long beach blvd," american, vegetarian friendly, vegan options",4.5,584,never tried wally's before but saw a valentine's day special in our local paper.  the dinner was great.  our server linda was very attentive and the service was great.  we had a coconut shrimp appetizer that was outstanding.  usually coconut shriimp is overly sweet but...more,2.0,american,vegetarian friendly,vegan options,"surf city, long beach island",nj," american, vegetarian friendly, vegan options never tried wally's before but saw a valentine's day special in our local paper.  the dinner was great.  our server linda was very attentive and the service was great.  we had a coconut shrimp appetizer that was outstanding.  usually coconut shriimp is overly sweet but...more",2628.0,american vegetarian friendly vegan option never tried wally saw valentine day special local paper dinner great server linda attentive service great coconut shrimp appetizer outstanding usually coconut shriimp overly sweet butmore
olive garden,222 w expressway 83," italian, vegetarian friendly, vegan options",4.0,184,the food is always great. very friendly staff. minimum wait tike for the most part but it is very worth it,2.0,italian,vegetarian friendly,vegan options,mcallen,tx," italian, vegetarian friendly, vegan options the food is always great. very friendly staff. minimum wait tike for the most part but it is very worth it",736.0,italian vegetarian friendly vegan option food always great friendly staff minimum wait tike part worth
lonesome dove western bistro,419 colorado st," american, southwestern, gluten free options",4.5,236,"if you read my bio, you'll see i am finally realizing my dream of being a ""food critic"" in austin, texas. i will be posting my honest and uninfluenced opinions on everything from the front door to paying the check (no handheld credit card machines,...more",3.0,american,southwestern,gluten free options,austin,tx," american, southwestern, gluten free options if you read my bio, you'll see i am finally realizing my dream of being a ""food critic"" in austin, texas. i will be posting my honest and uninfluenced opinions on everything from the front door to paying the check (no handheld credit card machines,...more",1062.0,american southwestern gluten free option read bio youll see finally realizing dream food critic austin texas posting honest uninfluenced opinion everything front door paying check handheld credit card machinesmore
pearl street grill & brewery,76 pearl st," american, bar, pub",4.0,1564,great atmosphere and service.  have been several times and i am never disappointed.  as certain times (when there is a game sabres or bandits especially) it gets pretty busy.,2.0,american,bar,pub,buffalo,ny," american, bar, pub great atmosphere and service.  have been several times and i am never disappointed.  as certain times (when there is a game sabres or bandits especially) it gets pretty busy.",6256.0,american bar pub great atmosphere service several time never disappointed certain time game sabre bandit especially get pretty busy
mena's grill,1851 n greenville ave ste 500," mexican, southwestern, vegetarian friendly",4.5,83,great food. i had summer fajitas and brisket tacos. nice atmosphere and very friendly staff. will be back,2.0,mexican,southwestern,vegetarian friendly,richardson,tx," mexican, southwestern, vegetarian friendly great food. i had summer fajitas and brisket tacos. nice atmosphere and very friendly staff. will be back",373.5,mexican southwestern vegetarian friendly great food summer fajitas brisket taco nice atmosphere friendly staff back
il giardinello,1232 route 166," italian, vegetarian friendly, vegan options",4.5,383,we were a party of 11 and had reservations.  although we still had to wait it was well worth it.  service was impeccable and our waiter moses was the best.  for the most part we ordered different dinners.  the portions were generous and we brought...more,2.0,italian,vegetarian friendly,vegan options,toms river,nj," italian, vegetarian friendly, vegan options we were a party of 11 and had reservations.  although we still had to wait it was well worth it.  service was impeccable and our waiter moses was the best.  for the most part we ordered different dinners.  the portions were generous and we brought...more",1723.5,italian vegetarian friendly vegan option party reservation although still wait well worth service impeccable waiter moses best part ordered different dinner portion generous broughtmore
seafood gourmet,103 w pleasant ave," seafood, soups, gluten free options",4.5,140,"had dinner there for the first time this past saturday.  yes, the restaurant is small but i didn't really feel cramped or crowded and it was a full house.  seated on time, the waitstaff was very attentive, keeping an eye out to see when each...more",2.0,seafood,soups,gluten free options,maywood,nj," seafood, soups, gluten free options had dinner there for the first time this past saturday.  yes, the restaurant is small but i didn't really feel cramped or crowded and it was a full house.  seated on time, the waitstaff was very attentive, keeping an eye out to see when each...more",630.0,seafood soup gluten free option dinner first time past saturday yes restaurant small didnt really feel cramped crowded full house seated time waitstaff attentive keeping eye see eachmore
"truluck's seafood, steak, and crabhouse",400 colorado st," american, seafood, vegetarian friendly",4.5,1182,"the attention to detail and the ambiance make it a perfect setting for a romantic dinner. the florida crab claws were an excellent appetizer, as were the lobster bisque and wedge salad. my main course was the scallops dish and they were perfection. however, my...more",3.0,american,seafood,vegetarian friendly,austin,tx," american, seafood, vegetarian friendly the attention to detail and the ambiance make it a perfect setting for a romantic dinner. the florida crab claws were an excellent appetizer, as were the lobster bisque and wedge salad. my main course was the scallops dish and they were perfection. however, my...more",5319.0,american seafood vegetarian friendly attention detail ambiance make perfect setting romantic dinner florida crab claw excellent appetizer lobster bisque wedge salad main course scallop dish perfection however mymore
the griffon gastropub,2470 military rd," american, brew pub, bar",4.5,849,"if you like nachos with olive slices, iceberg lettuce, cheese wiz, cheddar, sour cream and paprika (or chili powder) this place is for you. it was not for me 
the house salad was delicious though. and my family loved the bbq’d wings. 
they played good...more",2.0,american,brew pub,bar,niagara falls,ny," american, brew pub, bar if you like nachos with olive slices, iceberg lettuce, cheese wiz, cheddar, sour cream and paprika (or chili powder) this place is for you. it was not for me 
the house salad was delicious though. and my family loved the bbq’d wings. 
they played good...more",3820.5,american brew pub bar like nacho olive slice iceberg lettuce cheese wiz cheddar sour cream paprika chili powder place house salad delicious though family loved bbqd wing played goodmore
market grill,1509 pike pl ste 3," american, seafood, soups",4.5,248,"fresh soup, fresh fish cooked in front you on the grill. the place is rustic but the food is so simple and natural that you get all the flavors",2.0,american,seafood,soups,seattle,wa," american, seafood, soups fresh soup, fresh fish cooked in front you on the grill. the place is rustic but the food is so simple and natural that you get all the flavors",1116.0,american seafood soup fresh soup fresh fish cooked front grill place rustic food simple natural get flavor
restaurant at engleside inn,30 engleside ave," american, seafood, sushi",4.5,211,"always been one of my favourite place for dinner. always consistent in good quality and flavours. my favourite is the seafood vodka sauce.my family loves the tuna and their specials. when i am in long beach island, i always stop over.",2.0,american,seafood,sushi,"beach haven, long beach island",nj," american, seafood, sushi always been one of my favourite place for dinner. always consistent in good quality and flavours. my favourite is the seafood vodka sauce.my family loves the tuna and their specials. when i am in long beach island, i always stop over.",949.5,american seafood sushi always one favourite place dinner always consistent good quality flavour favourite seafood vodka saucemy family love tuna special long beach island always stop
bel aire diner,3191 21st st," american, diner, vegetarian friendly",4.0,169,"we were going to a museum in astoria, queens and dropped into this diner for food - some of us got breakfast, some pasta, some sandwiches and all were delicious and speedy. the staff was patient and fast and the atmosphere was classic diner. it...more",2.0,american,diner,vegetarian friendly,astoria,ny," american, diner, vegetarian friendly we were going to a museum in astoria, queens and dropped into this diner for food - some of us got breakfast, some pasta, some sandwiches and all were delicious and speedy. the staff was patient and fast and the atmosphere was classic diner. it...more",676.0,american diner vegetarian friendly going museum astoria queen dropped diner food u got breakfast pasta sandwich delicious speedy staff patient fast atmosphere classic diner itmore
toast,700 bloomfield ave," american, vegetarian friendly, vegan options",4.0,206,"we had breakfast at toast. the service was slow and inattentive. the food, eggs benedict, was average. when we were ready to depart we had to walk across the room to hail the wait person because she was chatting with a friend.
do yourself a...more",2.0,american,vegetarian friendly,vegan options,montclair,nj," american, vegetarian friendly, vegan options we had breakfast at toast. the service was slow and inattentive. the food, eggs benedict, was average. when we were ready to depart we had to walk across the room to hail the wait person because she was chatting with a friend.
do yourself a...more",824.0,american vegetarian friendly vegan option breakfast toast service slow inattentive food egg benedict average ready depart walk across room hail wait person chatting friend amore
francesco's restaurant,600 mamaroneck ave," italian, pizza, vegetarian friendly",4.5,70,"delicious authentic southern italian cooking.  never knew this place existed. the meals are cooked as you wait. the salmon oreganatta was incredible, the penne vodka sauce perfect, the bread was hot and crusty and the pizza (you can get a mini as an appetizer) was...more",2.0,italian,pizza,vegetarian friendly,white plains,ny," italian, pizza, vegetarian friendly delicious authentic southern italian cooking.  never knew this place existed. the meals are cooked as you wait. the salmon oreganatta was incredible, the penne vodka sauce perfect, the bread was hot and crusty and the pizza (you can get a mini as an appetizer) was...more",315.0,italian pizza vegetarian friendly delicious authentic southern italian cooking never knew place existed meal cooked wait salmon oreganatta incredible penne vodka sauce perfect bread hot crusty pizza get mini appetizer wasmore
the cheesecake factory,30 mall dr w," american, vegetarian friendly, gluten free options",4.0,276,we were in town for 2 nights to see a  broadway show in new york.  our hotel was across the street and we wanted a nice meal. i expect more from the cheesecake factory.  the prices suggest and almost demand better service and better quality...more,2.0,american,vegetarian friendly,gluten free options,jersey city,nj," american, vegetarian friendly, gluten free options we were in town for 2 nights to see a  broadway show in new york.  our hotel was across the street and we wanted a nice meal. i expect more from the cheesecake factory.  the prices suggest and almost demand better service and better quality...more",1104.0,american vegetarian friendly gluten free option town night see broadway show new york hotel across street wanted nice meal expect cheesecake factory price suggest almost demand better service better qualitymore
ruby tuesday,120 glimcher realty way," american, bar, pub",3.5,485,"good  meal of salmon and sandwich, butynol the tacky, sticky, ripped menus and drinks lists lets this place down.
service was good.",2.0,american,bar,pub,elizabeth,nj," american, bar, pub good  meal of salmon and sandwich, butynol the tacky, sticky, ripped menus and drinks lists lets this place down.
service was good.",1697.5,american bar pub good meal salmon sandwich butynol tacky sticky ripped menu drink list let place service good
blue clove,5884 everhart rd," american, seafood, vegan options",4.5,96,food was delicious!  service was fast. when you are in corpus and looking to have seafood you definitely want to give this local restaurant a try. totally worth it.,2.0,american,seafood,vegan options,corpus christi,tx," american, seafood, vegan options food was delicious!  service was fast. when you are in corpus and looking to have seafood you definitely want to give this local restaurant a try. totally worth it.",432.0,american seafood vegan option food delicious service fast corpus looking seafood definitely want give local restaurant try totally worth
leonardo's ii,2021 brunswick pike," italian, vegetarian friendly, vegan options",4.5,134,had dinner at one of our all-time favorite restaurants on a friday night. our server was knowledgeable about the specials; she suggested spinach-egg drop soup that was out of this world. we both had a seafood dish for dinner....leftovers!  everything was fabulous!!  kudos to robert...more,2.0,italian,vegetarian friendly,vegan options,lawrenceville,nj," italian, vegetarian friendly, vegan options had dinner at one of our all-time favorite restaurants on a friday night. our server was knowledgeable about the specials; she suggested spinach-egg drop soup that was out of this world. we both had a seafood dish for dinner....leftovers!  everything was fabulous!!  kudos to robert...more",603.0,italian vegetarian friendly vegan option dinner one alltime favorite restaurant friday night server knowledgeable special suggested spinachegg drop soup world seafood dish dinnerleftovers everything fabulous kudos robertmore
